time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445750000	14.4164	2.95365	5.12874	0.485401	0.2783	radar	1.52401	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6254	3.03284	5.09477	0.48457	0.2623	lidar	2.24694	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8531	3.17926	5.12323	0.504875	0.266203	radar	3.99009	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.057	3.36958	5.13688	0.548281	0.300667	lidar	1.30098	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2689	3.53313	5.13787	0.578266	0.320669	radar	2.50058	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4791	3.71928	5.1578	0.612652	0.341142	lidar	0.835699	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6919	3.85271	5.15231	0.622284	0.332521	radar	0.906857	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9117	3.99832	5.15926	0.634026	0.326627	lidar	0.226678	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1093	4.16424	5.14436	0.662029	0.346848	radar	1.74247	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3055	4.35784	5.16079	0.693222	0.362049	lidar	0.492698	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5151	4.51918	5.17065	0.705354	0.353507	radar	0.669451	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6943	4.69159	5.15992	0.727934	0.359563	lidar	0.43858	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8498	4.89436	5.1252	0.777364	0.411705	radar	4.8972	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0148	5.11594	5.14098	0.815811	0.431328	lidar	0.601206	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1846	5.29421	5.12386	0.838515	0.437855	radar	1.87072	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3465	5.47741	5.11209	0.859284	0.437167	lidar	0.257756	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5017	5.65903	5.08674	0.884498	0.448518	radar	3.56712	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6989	5.78771	5.05907	0.874367	0.413315	lidar	2.16432	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8391	5.99656	5.04341	0.912765	0.44385	radar	1.52112	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0164	6.18053	5.0464	0.922408	0.429608	lidar	0.674172	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1624	6.39332	5.05035	0.949479	0.437395	radar	0.603979	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2864	6.62191	5.05604	0.983786	0.451039	lidar	0.388819	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4151	6.84165	5.05351	1.01446	0.464272	radar	0.297925	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.567	6.98644	5.00335	1.01189	0.438074	lidar	2.99554	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7128	7.19539	5.01342	1.02352	0.420939	radar	0.437563	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9125	7.33524	4.98457	1.00231	0.37549	lidar	4.65482	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9964	7.55532	4.95305	1.04921	0.421145	radar	4.67805	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0911	7.80125	4.96723	1.08629	0.438297	lidar	0.649417	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2082	8.01539	4.96379	1.10451	0.433399	radar	0.352109	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2905	8.22665	4.94005	1.13248	0.441378	lidar	1.78338	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3863	8.44383	4.93384	1.1512	0.432962	radar	2.44942	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4837	8.60001	4.86588	1.15789	0.419671	lidar	5.54865	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5697	8.81947	4.85396	1.18504	0.431921	radar	0.828026	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7347	8.98826	4.82909	1.16845	0.391443	lidar	4.80354	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8025	9.21975	4.82059	1.20555	0.420207	radar	1.08464	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9372	9.43016	4.82446	1.20537	0.396997	lidar	2.67392	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9768	9.66424	4.80538	1.25436	0.44464	radar	3.05178	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0689	9.88921	4.80819	1.26862	0.435877	lidar	0.439805	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1262	10.1369	4.82526	1.29436	0.435095	radar	6.70787	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1784	10.3911	4.84406	1.32367	0.442426	lidar	0.354978	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1915	10.6325	4.83101	1.37254	0.484427	radar	3.15452	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2539	10.8891	4.85579	1.39291	0.479152	lidar	1.46621	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2821	11.1421	4.86866	1.42108	0.480318	radar	4.73394	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3177	11.3763	4.86209	1.44344	0.478888	lidar	0.0429786	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2621	11.6284	4.8471	1.52024	0.562474	radar	11.1597	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3352	11.8646	4.85074	1.52346	0.536033	lidar	4.50209	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3593	12.0999	4.85093	1.53033	0.497054	radar	3.61171	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3501	12.3723	4.88158	1.56346	0.503967	lidar	0.895267	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
